deployment_id,deployment_date,environment,target,status,error_type,month
DEP_00271,3/24/2026,DevAll,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00272,10/8/2025,UAT,MAI,success,,2025-10
DEP_00273,3/21/2026,UAT,RCT,failed,Other Technical Errors,2026-03
DEP_00274,10/7/2025,UAT,LM_Prod,success,,2025-10
DEP_00275,3/16/2026,DevAll,LM_Prod,failed,Permission Issues,2026-03
DEP_00276,12/30/2025,EMT,RCT,failed,Validation/Cross-Ref Errors,2025-12
DEP_00277,4/4/2026,UAT,LM_Prod,success,,2026-04
DEP_00278,10/10/2025,DevAll,MAI,failed,Other Technical Errors,2025-10
DEP_00279,10/6/2025,DevAll,MAI,success,,2025-10
DEP_00280,3/20/2026,UAT,MAI,success,,2026-03
DEP_00281,12/29/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00282,3/27/2026,SIT,RCT,failed,Missing Data/Fields,2026-03
DEP_00283,12/31/2025,UAT,RCT,success,,2025-12
DEP_00284,3/14/2026,UAT,LM_Prod,success,,2026-03
DEP_00285,3/7/2026,EMT,MAI,failed,Other Technical Errors,2026-03
DEP_00286,10/25/2025,DevAll,MAI,failed,Validation/Cross-Ref Errors,2025-10
DEP_00287,1/27/2026,DevAll,LM_Prod,success,,2026-01
DEP_00288,12/19/2025,DevAll,LM_Prod,success,,2025-12
DEP_00289,12/8/2025,DevAll,RCT,failed,Duplicate Records,2025-12
DEP_00290,3/27/2026,DevAll,LM_Prod,success,,2026-03
DEP_00291,3/30/2026,DevAll,RCT,failed,Duplicate Records,2026-03
DEP_00292,12/29/2025,DevAll,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00293,12/25/2025,DevAll,MAI,success,,2025-12
DEP_00294,12/26/2025,DevAll,MAI,failed,Missing Data/Fields,2025-12
DEP_00295,1/5/2026,DevAll,MAI,success,,2026-01
DEP_00296,3/19/2026,DevAll,MAI,success,,2026-03
DEP_00297,4/22/2026,DevAll,RCT,success,,2026-04
DEP_00298,1/20/2026,DevAll,RCT,success,,2026-01
DEP_00299,3/5/2026,UAT,MAI,success,,2026-03
DEP_00300,1/6/2026,SIT,RCT,failed,Permission Issues,2026-01
DEP_00301,3/3/2026,UAT,MAI,failed,Permission Issues,2026-03
DEP_00302,3/2/2026,SIT,MAI,success,,2026-03
DEP_00303,12/14/2025,DevAll,RCT,success,,2025-12
DEP_00304,4/8/2026,EMT,MAI,success,,2026-04
DEP_00305,3/18/2026,SIT,MAI,success,,2026-03
DEP_00306,3/19/2026,DevAll,LM_Prod,success,,2026-03
DEP_00307,10/3/2025,DevAll,RNT_SI,success,,2025-10
DEP_00308,4/6/2026,EMT,RNT_SI,failed,Other Technical Errors,2026-04
DEP_00309,10/24/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00310,4/11/2026,SIT,RCT,failed,Validation/Cross-Ref Errors,2026-04
DEP_00311,3/7/2026,UAT,RCT,success,,2026-03
DEP_00312,10/18/2025,EMT,RCT,failed,Other Technical Errors,2025-10
DEP_00313,1/30/2026,EMT,RCT,failed,Other Technical Errors,2026-01
DEP_00314,3/25/2026,DevAll,MAI,failed,Missing Data/Fields,2026-03
DEP_00315,4/20/2026,SIT,MAI,failed,Duplicate Records,2026-04
DEP_00316,11/24/2025,EMT,MAI,success,,2025-11
DEP_00317,1/25/2026,EMT,MAI,failed,Other Technical Errors,2026-01
DEP_00318,10/4/2025,UAT,MAI,failed,Permission Issues,2025-10
DEP_00319,10/1/2025,DevAll,MAI,failed,Other Technical Errors,2025-10
DEP_00320,3/26/2026,DevAll,RCT,success,,2026-03
DEP_00321,12/11/2025,EMT,RCT,failed,Other Technical Errors,2025-12
DEP_00322,4/28/2026,UAT,MAI,success,,2026-04
DEP_00323,3/8/2026,UAT,MAI,success,,2026-03
DEP_00324,12/4/2025,UAT,MAI,failed,Validation/Cross-Ref Errors,2025-12
DEP_00325,11/12/2025,DevAll,LM_Prod,success,,2025-11
DEP_00326,3/17/2026,EMT,RCT,success,,2026-03
DEP_00327,3/22/2026,UAT,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00328,1/24/2026,UAT,RCT,success,,2026-01
DEP_00329,1/6/2026,EMT,MAI,failed,Duplicate Records,2026-01
DEP_00330,10/28/2025,DevAll,RCT,success,,2025-10
DEP_00331,3/8/2026,DevAll,RCT,failed,Missing Data/Fields,2026-03
DEP_00332,2/1/2026,UAT,RCT,success,,2026-02
DEP_00333,12/27/2025,SIT,MAI,success,,2025-12
DEP_00334,10/20/2025,DevAll,RCT,failed,Other Technical Errors,2025-10
DEP_00335,4/8/2026,UAT,LM_Prod,success,,2026-04
DEP_00336,10/28/2025,UAT,LM_Prod,success,,2025-10
DEP_00337,11/22/2025,UAT,MAI,success,,2025-11
DEP_00338,11/15/2025,SIT,RCT,failed,Permission Issues,2025-11
DEP_00339,3/1/2026,DevAll,MAI,failed,Duplicate Records,2026-03
DEP_00340,12/23/2025,UAT,MAI,success,,2025-12
DEP_00341,10/7/2025,DevAll,LM_Prod,success,,2025-10
DEP_00342,12/3/2025,EMT,MAI,success,,2025-12
DEP_00343,4/12/2026,UAT,MAI,failed,Other Technical Errors,2026-04
DEP_00344,3/7/2026,UAT,LM_Prod,success,,2026-03
DEP_00345,3/8/2026,SIT,MAI,success,,2026-03
DEP_00346,3/25/2026,EMT,LM_Prod,success,,2026-03
DEP_00347,12/21/2025,SIT,MAI,success,,2025-12
DEP_00348,10/14/2025,EMT,MAI,failed,Duplicate Records,2025-10
DEP_00349,4/28/2026,EMT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00350,10/3/2025,SIT,RCT,success,,2025-10
DEP_00351,2/16/2026,UAT,MAI,success,,2026-02
DEP_00352,4/8/2026,DevAll,LM_Prod,failed,Duplicate Records,2026-04
DEP_00353,11/21/2025,EMT,LM_Prod,success,,2025-11
DEP_00354,3/14/2026,EMT,RCT,failed,Other Technical Errors,2026-03
DEP_00355,3/13/2026,DevAll,RCT,success,,2026-03
DEP_00356,1/21/2026,EMT,RCT,failed,Other Technical Errors,2026-01
DEP_00357,1/17/2026,UAT,RCT,failed,Duplicate Records,2026-01
DEP_00358,12/19/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00359,3/16/2026,EMT,MAI,success,,2026-03
DEP_00360,4/22/2026,SIT,LM_Prod,success,,2026-04
DEP_00361,3/4/2026,DevAll,LM_Prod,failed,Permission Issues,2026-03
DEP_00362,3/28/2026,SIT,RCT,success,,2026-03
DEP_00363,4/23/2026,DevAll,LM_Prod,success,,2026-04
DEP_00364,12/16/2025,DevAll,LM_Prod,success,,2025-12
DEP_00365,12/8/2025,DevAll,RCT,success,,2025-12
DEP_00366,3/26/2026,DevAll,RCT,failed,Other Technical Errors,2026-03
DEP_00367,3/30/2026,DevAll,RCT,success,,2026-03
DEP_00368,1/14/2026,DevAll,LM_Prod,failed,Other Technical Errors,2026-01
DEP_00369,12/5/2025,DevAll,RCT,failed,Validation/Cross-Ref Errors,2025-12
DEP_00370,3/12/2026,DevAll,LM_Prod,success,,2026-03
DEP_00371,4/17/2026,DevAll,LM_Prod,success,,2026-04
DEP_00372,10/28/2025,DevAll,MAI,success,,2025-10
DEP_00373,3/15/2026,DevAll,MAI,failed,Duplicate Records,2026-03
DEP_00374,12/22/2025,EMT,LM_Prod,failed,Duplicate Records,2025-12
DEP_00375,3/16/2026,UAT,RCT,failed,Validation/Cross-Ref Errors,2026-03
DEP_00376,1/9/2026,EMT,LM_Prod,success,,2026-01
DEP_00377,4/3/2026,DevAll,RCT,failed,Duplicate Records,2026-04
DEP_00378,10/4/2025,UAT,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00379,5/10/2026,DevAll,MAI,success,,2026-05
DEP_00380,5/22/2026,SIT,LM_Prod,success,,2026-05
DEP_00381,3/24/2026,EMT,RCT,failed,Missing Data/Fields,2026-03
DEP_00382,1/10/2026,UAT,LM_Prod,failed,Missing Data/Fields,2026-01
DEP_00383,12/8/2025,SIT,RCT,success,,2025-12
DEP_00384,1/15/2026,DevAll,LM_Prod,failed,Permission Issues,2026-01
DEP_00385,4/15/2026,DevAll,RCT,success,,2026-04
DEP_00386,12/18/2025,UAT,RCT,failed,Missing Data/Fields,2025-12
DEP_00387,3/24/2026,SIT,RCT,success,,2026-03
DEP_00388,12/9/2025,UAT,MAI,success,,2025-12
DEP_00389,4/5/2026,EMT,LM_Prod,success,,2026-04
DEP_00390,10/15/2025,SIT,RCT,success,,2025-10
DEP_00391,3/4/2026,UAT,LM_Prod,success,,2026-03
DEP_00392,4/20/2026,DevAll,MAI,failed,Other Technical Errors,2026-04
DEP_00393,3/17/2026,UAT,MAI,success,,2026-03
DEP_00394,4/19/2026,SIT,MAI,success,,2026-04
DEP_00395,3/4/2026,UAT,RCT,failed,Other Technical Errors,2026-03
DEP_00396,4/6/2026,EMT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00397,1/30/2026,EMT,RCT,success,,2026-01
DEP_00398,12/20/2025,EMT,RCT,failed,Duplicate Records,2025-12
DEP_00399,11/7/2025,UAT,RCT,success,,2025-11
DEP_00400,3/12/2026,DevAll,MAI,success,,2026-03
DEP_00401,4/25/2026,EMT,LM_Prod,success,,2026-04
DEP_00402,3/18/2026,SIT,MAI,failed,Validation/Cross-Ref Errors,2026-03
DEP_00403,3/6/2026,DevAll,MAI,success,,2026-03
DEP_00404,3/21/2026,UAT,LM_Prod,success,,2026-03
DEP_00405,3/28/2026,SIT,LM_Prod,failed,Other Technical Errors,2026-03
DEP_00406,3/5/2026,EMT,MAI,success,,2026-03
DEP_00407,10/21/2025,EMT,LM_Prod,failed,Other Technical Errors,2025-10
DEP_00408,4/23/2026,UAT,MAI,failed,Other Technical Errors,2026-04
DEP_00409,3/7/2026,DevAll,LM_Prod,success,,2026-03
DEP_00410,10/17/2025,EMT,MAI,failed,Missing Data/Fields,2025-10
DEP_00411,4/22/2026,DevAll,LM_Prod,success,,2026-04
DEP_00412,11/6/2025,DevAll,LM_Prod,success,,2025-11
DEP_00413,3/15/2026,DevAll,LM_Prod,success,,2026-03
DEP_00414,12/22/2025,DevAll,RCT,success,,2025-12
DEP_00415,4/2/2026,SIT,MAI,failed,Permission Issues,2026-04
DEP_00416,3/27/2026,DevAll,MAI,success,,2026-03
DEP_00417,3/21/2026,UAT,MAI,success,,2026-03
DEP_00418,1/21/2026,SIT,RCT,success,,2026-01
DEP_00419,12/24/2025,UAT,LM_Prod,success,,2025-12
DEP_00420,3/1/2026,EMT,MAI,failed,Validation/Cross-Ref Errors,2026-03
DEP_00421,4/21/2026,DevAll,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00422,12/5/2025,DevAll,RCT,success,,2025-12
DEP_00423,1/28/2026,DevAll,MAI,failed,Other Technical Errors,2026-01
DEP_00424,3/19/2026,DevAll,LM_Prod,failed,Duplicate Records,2026-03
DEP_00425,4/30/2026,DevAll,LM_Prod,success,,2026-04
DEP_00426,4/19/2026,DevAll,RCT,success,,2026-04
DEP_00427,12/9/2025,EMT,LM_Prod,success,,2025-12
DEP_00428,3/8/2026,DevAll,RNT_SI,success,,2026-03
DEP_00429,4/30/2026,DevAll,RNT_SI,success,,2026-04
DEP_00430,4/24/2026,DevAll,RNT_SI,failed,Validation/Cross-Ref Errors,2026-04
DEP_00431,10/9/2025,SIT,MAI,success,,2025-10
DEP_00432,10/3/2025,EMT,MAI,success,,2025-10
DEP_00433,12/17/2025,UAT,LM_Prod,success,,2025-12
DEP_00434,3/17/2026,EMT,MAI,failed,Permission Issues,2026-03
DEP_00435,4/2/2026,DevAll,MAI,failed,Other Technical Errors,2026-04
DEP_00436,3/28/2026,EMT,MAI,failed,Duplicate Records,2026-03
DEP_00437,5/7/2026,EMT,LM_Prod,success,,2026-05
DEP_00438,3/16/2026,SIT,RCT,success,,2026-03
DEP_00439,3/30/2026,DevAll,MAI,failed,Other Technical Errors,2026-03
DEP_00440,4/20/2026,DevAll,MAI,failed,Duplicate Records,2026-04
DEP_00441,4/3/2026,DevAll,LM_Prod,failed,Permission Issues,2026-04
DEP_00442,3/7/2026,EMT,RCT,success,,2026-03
DEP_00443,10/9/2025,UAT,LM_Prod,success,,2025-10
DEP_00444,4/13/2026,UAT,LM_Prod,success,,2026-04
DEP_00445,12/23/2025,SIT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00446,12/5/2025,DevAll,MAI,failed,Missing Data/Fields,2025-12
DEP_00447,1/11/2026,SIT,LM_Prod,failed,Duplicate Records,2026-01
DEP_00448,11/12/2025,EMT,LM_Prod,success,,2025-11
DEP_00449,3/14/2026,SIT,MAI,success,,2026-03
DEP_00450,4/3/2026,SIT,RCT,success,,2026-04
DEP_00451,4/29/2026,SIT,LM_Prod,success,,2026-04
DEP_00452,11/13/2025,SIT,RCT,failed,Missing Data/Fields,2025-11
DEP_00453,4/17/2026,DevAll,LM_Prod,success,,2026-04
DEP_00454,3/26/2026,EMT,LM_Prod,failed,Missing Data/Fields,2026-03
DEP_00455,4/7/2026,EMT,MAI,success,,2026-04
DEP_00456,12/24/2025,UAT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00457,12/26/2025,UAT,MAI,success,,2025-12
DEP_00458,1/31/2026,UAT,LM_Prod,failed,Missing Data/Fields,2026-01
DEP_00459,4/16/2026,UAT,LM_Prod,success,,2026-04
DEP_00460,11/9/2025,EMT,RCT,failed,Other Technical Errors,2025-11
DEP_00461,11/8/2025,UAT,RCT,success,,2025-11
DEP_00462,2/20/2026,SIT,MAI,success,,2026-02
DEP_00463,4/2/2026,EMT,MAI,success,,2026-04
DEP_00464,10/3/2025,DevAll,MAI,success,,2025-10
DEP_00465,4/3/2026,DevAll,LM_Prod,success,,2026-04
DEP_00466,12/24/2025,UAT,MAI,failed,Duplicate Records,2025-12
DEP_00467,10/12/2025,DevAll,MAI,success,,2025-10
DEP_00468,3/28/2026,UAT,MAI,failed,Duplicate Records,2026-03
DEP_00469,3/13/2026,DevAll,RCT,success,,2026-03
DEP_00470,10/2/2025,EMT,RCT,success,,2025-10
DEP_00471,12/3/2025,DevAll,LM_Prod,success,,2025-12
DEP_00472,4/27/2026,DevAll,LM_Prod,failed,Duplicate Records,2026-04
DEP_00473,4/19/2026,EMT,RCT,failed,Duplicate Records,2026-04
DEP_00474,3/26/2026,EMT,RCT,success,,2026-03
DEP_00475,4/18/2026,SIT,MAI,failed,Other Technical Errors,2026-04
DEP_00476,3/14/2026,DevAll,RCT,failed,Duplicate Records,2026-03
DEP_00477,3/14/2026,EMT,RCT,failed,Duplicate Records,2026-03
DEP_00478,1/1/2026,EMT,RCT,success,,2026-01
DEP_00479,4/17/2026,EMT,RCT,failed,Duplicate Records,2026-04
DEP_00480,3/6/2026,SIT,RCT,success,,2026-03
DEP_00481,12/16/2025,UAT,LM_Prod,success,,2025-12
DEP_00482,4/9/2026,EMT,RNT_SI,failed,Other Technical Errors,2026-04
DEP_00483,3/28/2026,DevAll,RNT_SI,success,,2026-03
DEP_00484,10/13/2025,DevAll,RNT_SI,failed,Validation/Cross-Ref Errors,2025-10
DEP_00485,10/29/2025,DevAll,RNT_SI,success,,2025-10
DEP_00486,1/31/2026,DevAll,RNT_SI,failed,Duplicate Records,2026-01
DEP_00487,4/4/2026,DevAll,RCT,failed,Duplicate Records,2026-04
DEP_00488,10/4/2025,DevAll,LM_Prod,failed,Missing Data/Fields,2025-10
DEP_00489,3/18/2026,EMT,LM_Prod,success,,2026-03
DEP_00490,3/10/2026,SIT,MAI,success,,2026-03
DEP_00491,10/8/2025,DevAll,LM_Prod,success,,2025-10
DEP_00492,4/28/2026,EMT,RCT,success,,2026-04
DEP_00493,12/18/2025,EMT,MAI,failed,Duplicate Records,2025-12
DEP_00494,4/22/2026,UAT,RCT,failed,Other Technical Errors,2026-04
DEP_00495,4/9/2026,DevAll,RCT,failed,Other Technical Errors,2026-04
DEP_00496,10/23/2025,UAT,RCT,failed,Other Technical Errors,2025-10
DEP_00497,3/18/2026,UAT,RCT,success,,2026-03
DEP_00498,3/11/2026,DevAll,RCT,failed,Other Technical Errors,2026-03
DEP_00499,1/6/2026,SIT,MAI,failed,Duplicate Records,2026-01
DEP_00500,4/22/2026,DevAll,RCT,failed,Other Technical Errors,2026-04
DEP_00501,4/4/2026,EMT,RCT,success,,2026-04
DEP_00502,3/23/2026,UAT,RCT,failed,Other Technical Errors,2026-03
DEP_00503,3/2/2026,SIT,MAI,success,,2026-03
DEP_00504,12/14/2025,EMT,MAI,failed,Other Technical Errors,2025-12
DEP_00505,5/23/2026,EMT,LM_Prod,success,,2026-05
DEP_00506,4/18/2026,UAT,MAI,success,,2026-04
DEP_00507,12/25/2025,DevAll,RCT,failed,Duplicate Records,2025-12
DEP_00508,3/2/2026,EMT,LM_Prod,failed,Missing Data/Fields,2026-03
DEP_00509,11/3/2025,UAT,LM_Prod,success,,2025-11
DEP_00510,12/3/2025,DevAll,MAI,failed,Duplicate Records,2025-12
DEP_00511,4/14/2026,EMT,RCT,success,,2026-04
DEP_00512,10/26/2025,UAT,RCT,success,,2025-10
DEP_00513,3/30/2026,DevAll,MAI,success,,2026-03
DEP_00514,3/2/2026,DevAll,RCT,success,,2026-03
DEP_00515,10/23/2025,EMT,MAI,failed,Other Technical Errors,2025-10
DEP_00516,12/27/2025,UAT,LM_Prod,failed,Missing Data/Fields,2025-12
DEP_00517,4/17/2026,EMT,MAI,failed,Duplicate Records,2026-04
DEP_00518,12/15/2025,DevAll,LM_Prod,success,,2025-12
DEP_00519,3/28/2026,SIT,MAI,failed,Duplicate Records,2026-03
DEP_00520,10/26/2025,SIT,LM_Prod,success,,2025-10
DEP_00521,12/5/2025,SIT,LM_Prod,success,,2025-12
DEP_00522,10/19/2025,DevAll,RNT_SI,success,,2025-10
DEP_00523,11/6/2025,EMT,RNT_SI,success,,2025-11
DEP_00524,10/4/2025,EMT,RNT_SI,success,,2025-10
DEP_00525,4/17/2026,EMT,MAI,success,,2026-04
DEP_00526,4/29/2026,DevAll,RCT,success,,2026-04
DEP_00527,12/13/2025,SIT,MAI,success,,2025-12
DEP_00528,3/22/2026,DevAll,MAI,success,,2026-03
DEP_00529,12/11/2025,DevAll,LM_Prod,success,,2025-12
DEP_00530,3/22/2026,SIT,MAI,failed,Validation/Cross-Ref Errors,2026-03
DEP_00531,10/24/2025,DevAll,LM_Prod,failed,Duplicate Records,2025-10
DEP_00532,10/9/2025,SIT,MAI,success,,2025-10
DEP_00533,3/24/2026,UAT,MAI,failed,Other Technical Errors,2026-03
DEP_00534,4/16/2026,UAT,RNT_SI,failed,Other Technical Errors,2026-04
DEP_00535,11/21/2025,DevAll,RNT_SI,failed,Missing Data/Fields,2025-11
DEP_00536,10/3/2025,SIT,LM_Prod,success,,2025-10
DEP_00537,3/3/2026,EMT,LM_Prod,failed,Duplicate Records,2026-03
DEP_00538,4/29/2026,DevAll,MAI,success,,2026-04
DEP_00539,4/18/2026,DevAll,RCT,success,,2026-04
DEP_00540,3/31/2026,DevAll,RCT,success,,2026-03
